n_future_bars,tp_threshold,sl_threshold,volatility_threshold,sharpe,total_trade, 'mdd'
28,0.03,0.0,1.2,1.8046643171217125,2779,-0.152768077338024
28,0.03,0.0,2.2,2.0289188254688697,2781,-0.0873816951645087
28,0.03,0.0,1.0,1.606056095476757,2745,-0.1617246219021444
28,0.03,0.0,2.8,2.244299761733388,2826,-0.0906300293858954
28,0.03,0.0,1.6,1.9176345783244848,2767,-0.1166660335045861
28,0.03,0.0,1.7999999999999998,1.9638677168129344,2747,-0.1107006379463953
28,0.03,0.0,2.0,2.0383672142212816,2747,-0.1025757433369248
28,0.03,0.0,2.6,2.129981724155381,2792,-0.1132060920646287
28,0.03,0.0,1.4,1.8419475568452248,2749,-0.1330366180405331
28,0.03,0.0,2.3999999999999995,2.062697084775265,2794,-0.0949944749618119
28,0.03,-0.01,1.2,1.9459098040033675,2051,-0.0762070743107088
28,0.03,-0.01,1.0,1.7651724608576382,1997,-0.0843822681986418
28,0.03,-0.01,1.6,2.045277402676257,2093,-0.1020274320769342
28,0.03,-0.01,1.4,1.972255343656636,2065,-0.1250775946894236
28,0.03,-0.01,2.3999999999999995,2.217754734765494,2164,-0.0818321034008862
28,0.03,-0.01,2.0,2.1623591632502004,2129,-0.1006346334449711
28,0.03,-0.01,2.6,2.2873655025925967,2162,-0.0914392676012894
28,0.03,-0.01,2.8,2.367681848130305,2200,-0.0841794536239873
28,0.03,-0.01,2.2,2.18639278144876,2157,-0.0821258447632836
28,0.03,-0.01,1.7999999999999998,2.094529525292889,2115,-0.1078105180772928
28,0.03,-0.02,1.2,1.831884547717863,1516,-0.0651276891384524
28,0.03,-0.02,1.4,1.872875926915808,1548,-0.1125235137219231
28,0.03,-0.02,1.0,1.667157307449772,1458,-0.0698847970640264
28,0.03,-0.02,1.6,1.9339319581830217,1580,-0.0977830216112483
28,0.03,-0.02,2.0,2.0411585409367934,1590,-0.0988311678449296
28,0.03,-0.02,2.6,2.1514155757268427,1639,-0.0914392676012894
28,0.03,-0.02,2.8,2.2135300250364454,1661,-0.0803255432838634
28,0.03,-0.02,2.2,2.056189280395913,1630,-0.0821105702446558
28,0.03,-0.03,1.0,1.5623444069167969,1182,-0.0577372336142456
28,0.03,-0.02,2.3999999999999995,2.085665121832638,1639,-0.0818321034008862
28,0.03,-0.02,1.7999999999999998,1.984673871212629,1584,-0.1072326258459348
28,0.03,-0.03,1.2,1.7229495766629797,1236,-0.0584787746354261
28,0.03,-0.03,1.4,1.7823282692830875,1258,-0.0834920025341302
28,0.03,-0.03,1.7999999999999998,1.8753491041020824,1310,-0.0892062418686965
28,0.03,-0.03,2.0,1.9236587432863008,1322,-0.0861650062020564
28,0.03,-0.03,1.6,1.8348638773071475,1298,-0.0809826144372109
28,0.03,-0.03,2.3999999999999995,1.9678810220562448,1373,-0.0818321034008862
28,0.03,-0.03,2.2,1.94721509242218,1362,-0.0821105702446558
28,0.03,-0.03,2.8,2.086193765816059,1401,-0.0803255432838625
28,0.03,-0.04,1.0,1.4280868128559696,986,-0.0622033375779418
28,0.03,-0.04,1.2,1.5437129346928615,1024,-0.0660467005232502
28,0.03,-0.03,2.6,2.030246141133597,1381,-0.0914392676012894
28,0.03,-0.04,1.6,1.637677374347216,1050,-0.0797682560080859
28,0.03,-0.04,1.7999999999999998,1.6806913488047952,1062,-0.0892062418686965
28,0.03,-0.04,2.0,1.700732537887881,1070,-0.0829899104202984
28,0.03,-0.04,1.4,1.6022144427583225,1026,-0.0784492227303768
28,0.03,-0.04,2.2,1.7477925221871895,1104,-0.0821105702446559
28,0.03,-0.04,2.3999999999999995,1.767636428966909,1111,-0.0818321034008862
28,0.03,-0.05,1.2,1.4046794960664817,870,-0.0650649271042443
28,0.03,-0.04,2.8,1.885774135508382,1137,-0.0803255432838625
28,0.03,-0.05,1.4,1.4665161610830009,878,-0.0909301722348536
28,0.03,-0.05,1.6,1.5008762571512486,902,-0.0797682560080859
28,0.03,-0.05,2.0,1.5622122812562549,906,-0.0829899104202984
28,0.03,-0.05,2.2,1.6121020541294089,934,-0.082110570244656
28,0.03,-0.05,2.3999999999999995,1.626475732999087,943,-0.0818321034008868
28,0.03,-0.04,2.6,1.831290935330736,1117,-0.0818321034008862
28,0.03,-0.05,1.0,1.2957401606933856,826,-0.0600893333306462
28,0.03,-0.05,2.6,1.6786051230285417,947,-0.0818321034008865
28,0.03,-0.05,1.7999999999999998,1.5254309052895785,900,-0.0892062418686965
28,0.03,-0.05,2.8,1.7329987715203834,961,-0.0803255432838625
28,0.03,-0.06,1.0,1.2664654601781806,752,-0.0584467843686429
28,0.03,-0.06,1.4,1.425332538920981,780,-0.0989392222578193
28,0.03,-0.06,1.2,1.3552230848324756,778,-0.0687267810499175
28,0.03,-0.06,1.6,1.4505828229794535,816,-0.0797682560080859
28,0.03,-0.06,1.7999999999999998,1.477016512946339,822,-0.0892062418686965
28,0.03,-0.06,2.2,1.554664722015769,846,-0.082110570244656
28,0.03,-0.06,2.0,1.4989418902930849,822,-0.0866517643659716
28,0.03,-0.06,2.3999999999999995,1.5714742494273033,853,-0.0818321034008868
28,0.03,-0.06,2.6,1.6171090366124816,861,-0.0818321034008868
28,0.03,-0.07,1.0,1.2342324765149033,688,-0.0580528820711706
28,0.03,-0.06,2.8,1.6723417000641358,877,-0.0803255432838625
28,0.03,-0.07,1.2,1.3283062660377138,712,-0.0817854638607888
28,0.03,-0.07,1.4,1.3692341415059677,726,-0.0961839710322655
28,0.03,-0.07,1.6,1.394910414798789,766,-0.1011770002775187
28,0.03,-0.07,1.7999999999999998,1.425917379223335,766,-0.0906510337543129
28,0.03,-0.07,2.0,1.4501174149617952,766,-0.0822495757533059
28,0.03,-0.07,2.2,1.5083117307368918,788,-0.082110570244656
28,0.03,-0.07,2.6,1.574096600943407,809,-0.0818321034008868
28,0.03,-0.07,2.3999999999999995,1.5265462138754848,801,-0.0818321034008868
28,0.03,-0.07,2.8,1.632457309892559,825,-0.0803255432838621
28,0.04,0.0,1.0,1.557937763031296,2569,-0.1499959044704795
28,0.04,0.0,1.2,1.7667712264730444,2607,-0.1358266783655706
28,0.04,0.0,1.4,1.7816731025705603,2581,-0.1594241027235821
28,0.04,0.0,1.6,1.8600756908322795,2593,-0.1394782906875002
28,0.04,0.0,2.0,1.9547185595222096,2563,-0.0943155218760375
28,0.04,0.0,2.3999999999999995,1.9682124709578857,2600,-0.122412220951853
28,0.04,0.0,1.7999999999999998,1.891012118132953,2565,-0.1070033205456191
28,0.04,0.0,2.2,1.9412007312727635,2589,-0.1147994411545498
28,0.04,0.0,2.6,2.027115217066481,2600,-0.1430239157911224
28,0.04,0.0,2.8,2.12135610186914,2632,-0.0906300293858954
28,0.04,-0.01,1.4,1.9218117514148063,1897,-0.0968087302821953
28,0.04,-0.01,1.0,1.7264695728593262,1821,-0.0773528895900566
28,0.04,-0.01,1.2,1.919198924974704,1879,-0.0614847385553396
28,0.04,-0.01,1.7999999999999998,2.030633633667574,1933,-0.0961968351564325
28,0.04,-0.01,1.6,1.9974101784636216,1919,-0.0937672106160469
28,0.04,-0.01,2.0,2.0861711645099272,1945,-0.0923744119840839
28,0.04,-0.01,2.2,2.107368961594486,1965,-0.0821105702446558
28,0.04,-0.01,2.3999999999999995,2.13143585485522,1970,-0.0818321034008862
28,0.04,-0.01,2.8,2.251778705136572,2006,-0.0803255432838634
28,0.04,-0.01,2.6,2.1927366484350457,1970,-0.0914392676012894
28,0.04,-0.02,1.2,1.8078777457201531,1344,-0.0631376942184926
28,0.04,-0.02,1.0,1.6296460615401702,1282,-0.0501631862870519
28,0.04,-0.02,1.6,1.88682395985812,1406,-0.0826851987258961
28,0.04,-0.02,1.7999999999999998,1.9201150956792092,1402,-0.093832032773319
28,0.04,-0.02,1.4,1.824033116574489,1380,-0.084254649314694
28,0.04,-0.02,2.0,1.962341951325953,1406,-0.085430574772312
28,0.04,-0.02,2.2,1.9737553437950055,1438,-0.0821105702446558
28,0.04,-0.02,2.3999999999999995,1.9952115475299848,1445,-0.0818321034008862
28,0.04,-0.02,2.6,2.0519306840269675,1447,-0.0914392676012894
28,0.04,-0.02,2.8,2.090143158288857,1467,-0.0803255432838634
28,0.04,-0.03,1.0,1.5243490106319342,1006,-0.0535569525982633
28,0.04,-0.03,1.2,1.700203559704251,1064,-0.0520266375288178
28,0.04,-0.03,1.4,1.7355144173553487,1090,-0.0688423041694106
28,0.04,-0.03,1.6,1.7890565310828728,1124,-0.0738353334146637
28,0.04,-0.03,1.7999999999999998,1.809650170240111,1128,-0.0892062418686965
28,0.04,-0.03,2.2,1.8619756862249384,1170,-0.0821105702446558
28,0.04,-0.03,2.0,1.841718413113663,1138,-0.0815255432838624
28,0.04,-0.03,2.3999999999999995,1.8734895335217965,1179,-0.0818321034008862
28,0.04,-0.03,2.6,1.926032754948705,1189,-0.0914392676012894
28,0.04,-0.03,2.8,1.956008309338135,1207,-0.0803255432838625
28,0.04,-0.04,1.0,1.3851016264144234,810,-0.0501631862870517
28,0.04,-0.04,1.2,1.514381766191803,852,-0.0554981643700315
28,0.04,-0.04,1.6,1.581858108664577,876,-0.0738353334146637
28,0.04,-0.04,1.4,1.5462981647458305,858,-0.0688423041694106
28,0.04,-0.04,1.7999999999999998,1.6037337850588704,880,-0.0892062418686965
28,0.04,-0.04,2.0,1.6046809909109028,886,-0.0815255432838624
28,0.04,-0.04,2.2,1.6505004235588656,912,-0.082110570244656
28,0.04,-0.04,2.6,1.714103598316856,925,-0.0818321034008865
28,0.04,-0.04,2.3999999999999995,1.660448150931407,917,-0.0818321034008868
28,0.04,-0.04,2.8,1.7401906044808622,943,-0.0803255432838625
28,0.04,-0.05,1.0,1.2473085740170529,650,-0.0501631862870517
28,0.04,-0.05,1.2,1.3710333993349164,698,-0.0545163909510256
28,0.04,-0.05,1.4,1.4039277097335336,710,-0.068842304169411
28,0.04,-0.05,1.6,1.4379762758998649,728,-0.0738353334146637
28,0.04,-0.05,1.7999999999999998,1.4383047033238503,718,-0.0892062418686965
28,0.04,-0.05,2.0,1.4563562847688976,722,-0.0815255432838624
28,0.04,-0.05,2.2,1.5055896984300026,742,-0.082110570244656
28,0.04,-0.05,2.6,1.5495757392758762,755,-0.0818321034008868
