datetime,actual_position,predicted_position,regime,close_price,daily_pnl,cumu_pnl
2024-03-26 07:00:00,Neutral,Long,0,70496.83435503,,0.0
2024-03-26 08:00:00,Neutral,Long,1,70710.96730654,0.0030374832213257985,0.0030374832213257985
2024-03-26 09:00:00,Neutral,Neutral,1,71148.82317901,0.005592191807698588,0.008629675029024387
2024-03-26 10:00:00,Neutral,Neutral,1,70895.93695036,-0.0,0.008629675029024387
2024-03-26 11:00:00,Neutral,Neutral,2,70696.41456108,-0.0,0.008629675029024387
2024-03-26 12:00:00,Neutral,Neutral,2,71110.31298345,0.0,0.008629675029024387
2024-03-26 13:00:00,Neutral,Neutral,2,70394.99279177,-0.0,0.008629675029024387
2024-03-26 14:00:00,Neutral,Neutral,2,70315.65537286,-0.0,0.008629675029024387
2024-03-26 15:00:00,Neutral,Neutral,2,70263.23612761,-0.0,0.008629675029024387
2024-03-26 16:00:00,Neutral,Neutral,2,69744.69366472,-0.0,0.008629675029024387
2024-03-26 17:00:00,Neutral,Neutral,2,70073.22594723,0.0,0.008629675029024387
2024-03-26 18:00:00,Neutral,Neutral,2,69957.32488845,-0.0,0.008629675029024387
2024-03-26 19:00:00,Neutral,Neutral,2,69454.23572004,-0.0,0.008629675029024387
2024-03-26 20:00:00,Neutral,Neutral,2,69829.01047662,0.0,0.008629675029024387
2024-03-26 21:00:00,Neutral,Neutral,2,70014.01500375,0.0,0.008629675029024387
2024-03-26 22:00:00,Neutral,Neutral,2,70247.99129534,0.0,0.008629675029024387
2024-03-26 23:00:00,Neutral,Neutral,2,69990.15691663,-0.0,0.008629675029024387
2024-03-27 00:00:00,Neutral,Neutral,2,70619.20309337,0.0,0.008629675029024387
2024-03-27 01:00:00,Neutral,Neutral,2,70325.41224935,-0.0,0.008629675029024387
2024-03-27 02:00:00,Neutral,Neutral,2,70574.56169465,0.0,0.008629675029024387
2024-03-27 03:00:00,Neutral,Neutral,2,70393.45352723,-0.0,0.008629675029024387
2024-03-27 04:00:00,Neutral,Neutral,2,70200.20929913,-0.0,0.008629675029024387
2024-03-27 05:00:00,Neutral,Neutral,2,70471.72144889,0.0,0.008629675029024387
2024-03-27 06:00:00,Neutral,Neutral,2,70305.67444736,-0.0,0.008629675029024387
2024-03-27 07:00:00,Neutral,Neutral,2,69733.32279544,-0.0,0.008629675029024387
2024-03-27 08:00:00,Neutral,Neutral,2,69543.10810507,-0.0,0.008629675029024387
2024-03-27 09:00:00,Neutral,Neutral,2,70052.8871988,0.0,0.008629675029024387
2024-03-27 10:00:00,Neutral,Neutral,2,70113.56553209,0.0,0.008629675029024387
2024-03-27 11:00:00,Neutral,Neutral,2,70221.14455507,0.0,0.008629675029024387
2024-03-27 12:00:00,Neutral,Neutral,2,70205.37848266,-0.0,0.008629675029024387
2024-03-27 13:00:00,Neutral,Neutral,2,69891.82752371,-0.0,0.008629675029024387
2024-03-27 14:00:00,Neutral,Neutral,2,70026.51138821,0.0,0.008629675029024387
2024-03-27 15:00:00,Neutral,Neutral,2,68863.23561546,-0.0,0.008629675029024387
2024-03-27 16:00:00,Neutral,Neutral,2,69241.24308872,0.0,0.008629675029024387
2024-03-27 17:00:00,Neutral,Neutral,2,68663.80158873,-0.0,0.008629675029024387
2024-03-27 18:00:00,Neutral,Neutral,2,68465.51914649,-0.0,0.008629675029024387
2024-03-27 19:00:00,Neutral,Neutral,2,68637.51982638,0.0,0.008629675029024387
2024-03-27 20:00:00,Neutral,Neutral,2,68874.85662353,0.0,0.008629675029024387
2024-03-27 21:00:00,Neutral,Neutral,2,68912.59228174,0.0,0.008629675029024387
2024-03-27 22:00:00,Neutral,Neutral,2,69422.96816718,0.0,0.008629675029024387
2024-03-27 23:00:00,Neutral,Neutral,2,69452.23586914,0.0,0.008629675029024387
2024-03-28 00:00:00,Neutral,Neutral,2,69651.90945266,0.0,0.008629675029024387
2024-03-28 01:00:00,Neutral,Neutral,2,69430.54181184,-0.0,0.008629675029024387
2024-03-28 02:00:00,Neutral,Neutral,2,69143.24754261,-0.0,0.008629675029024387
2024-03-28 03:00:00,Neutral,Neutral,2,69267.41353846,0.0,0.008629675029024387
2024-03-28 04:00:00,Neutral,Neutral,2,69694.149258,0.0,0.008629675029024387
2024-03-28 05:00:00,Neutral,Neutral,2,69696.69448956,0.0,0.008629675029024387
2024-03-28 06:00:00,Neutral,Neutral,2,70352.35290588,0.0,0.008629675029024387
2024-03-28 07:00:00,Neutral,Neutral,2,70392.70344233,0.0,0.008629675029024387
2024-03-28 08:00:00,Neutral,Neutral,2,70566.1321347,0.0,0.008629675029024387
