datetime,prob_short,prob_neutral,prob_long
2024-03-29 22:00:00,0.00037070503,0.21337804,0.78625125
2024-03-29 23:00:00,0.0005797923,0.33801657,0.66140366
2024-03-30 00:00:00,0.0006294535,0.1902488,0.80912167
2024-03-30 01:00:00,0.00066035846,0.3477129,0.65162677
2024-03-30 02:00:00,0.0005338571,0.1924804,0.80698586
2024-03-30 03:00:00,0.00052069797,0.35632926,0.6431501
2024-03-30 04:00:00,0.0004953276,0.23393242,0.76557225
2024-03-30 05:00:00,0.000722258,0.32211047,0.67716736
2024-03-30 06:00:00,0.0009330738,0.23033586,0.76873106
2024-03-30 07:00:00,0.0013023785,0.2610522,0.73764545
2024-03-30 08:00:00,0.0015280504,0.2232735,0.77519846
2024-03-30 09:00:00,0.0021620956,0.31235358,0.68548423
2024-03-30 10:00:00,0.0027632897,0.34526256,0.65197414
2024-03-30 11:00:00,0.0030815727,0.4470554,0.5498629
2024-03-30 12:00:00,0.0028087902,0.54001254,0.45717862
2024-03-30 13:00:00,0.0036413656,0.6667283,0.32963026
2024-03-30 14:00:00,0.003337163,0.76236475,0.23429811
2024-03-30 15:00:00,0.005243812,0.8314807,0.16327551
2024-03-30 16:00:00,0.003428047,0.871259,0.12531292
2024-03-30 17:00:00,0.0053596916,0.8746082,0.12003211
2024-03-30 18:00:00,0.0036607555,0.9063387,0.09000049
2024-03-30 19:00:00,0.0047484674,0.8927566,0.10249492
2024-03-30 20:00:00,0.0035973464,0.9064314,0.08997133
2024-03-30 21:00:00,0.004529461,0.8760163,0.11945423
2024-03-30 22:00:00,0.0031335284,0.88699615,0.1098703
2024-03-30 23:00:00,0.0028547237,0.88518465,0.11196064
2024-03-31 00:00:00,0.0020321035,0.87047124,0.12749667
2024-03-31 01:00:00,0.0018265371,0.8562413,0.1419322
2024-03-31 02:00:00,0.00073847966,0.8580239,0.14123765
2024-03-31 03:00:00,0.00085208734,0.856879,0.14226888
2024-03-31 04:00:00,0.00047009005,0.8613784,0.13815159
2024-03-31 05:00:00,0.00065760576,0.85559565,0.14374673
2024-03-31 06:00:00,0.00039256772,0.8731631,0.12644437
2024-03-31 07:00:00,0.0006357556,0.85000557,0.14935869
2024-03-31 08:00:00,0.00052659,0.86571646,0.13375695
2024-03-31 09:00:00,0.0009378006,0.8062862,0.19277602
2024-03-31 10:00:00,0.0012860562,0.8103105,0.18840343
2024-03-31 11:00:00,0.0023735312,0.7338525,0.26377392
2024-03-31 12:00:00,0.0025917946,0.7743982,0.22300999
2024-03-31 13:00:00,0.0029018973,0.72551244,0.2715856
2024-03-31 14:00:00,0.0019750856,0.76048034,0.23754452
2024-03-31 15:00:00,0.0011290502,0.7441491,0.2547219
2024-03-31 16:00:00,0.00057216897,0.7656033,0.23382457
2024-03-31 17:00:00,0.00031640808,0.7488023,0.2508813
2024-03-31 18:00:00,0.00016831582,0.7540972,0.24573448
2024-03-31 19:00:00,7.125478e-05,0.73028624,0.2696425
2024-03-31 20:00:00,3.9969756e-05,0.73035425,0.26960573
2024-03-31 21:00:00,3.1685115e-05,0.62092865,0.37903965
2024-03-31 22:00:00,2.6358692e-05,0.5623595,0.43761417
2024-03-31 23:00:00,3.3757267e-05,0.5198825,0.48008373
2024-04-01 00:00:00,4.2733012e-05,0.4919967,0.5079605
2024-04-01 01:00:00,6.297228e-05,0.49450144,0.50543565
2024-04-01 02:00:00,5.4006756e-05,0.5012226,0.4987234
2024-04-01 03:00:00,5.604299e-05,0.50177675,0.4981672
2024-04-01 04:00:00,7.611936e-05,0.5541162,0.44580767
2024-04-01 05:00:00,4.7518322e-05,0.6178308,0.38212162
2024-04-01 06:00:00,4.3327243e-05,0.7388081,0.2611486
2024-04-01 07:00:00,2.185469e-05,0.82700634,0.17297179
2024-04-01 08:00:00,1.84366e-05,0.85439384,0.14558767
2024-04-01 09:00:00,1.18629905e-05,0.89511865,0.104869515
2024-04-01 10:00:00,1.38871e-05,0.9112862,0.08869999
2024-04-01 11:00:00,2.0712605e-05,0.8785275,0.121451735
2024-04-01 12:00:00,2.9505896e-05,0.8842165,0.115754
