start_time,close,datetime,high,low,open,volume
1640995200000,46659.43669667,2022-01-01 00:00:00,46730.15030239,46189.36155359,46193.7506677,3941.580413696553
1640998800000,46786.78573004,2022-01-01 01:00:00,46935.52968551,46568.80010172,46656.933162,2973.3814958418016
1641002400000,46809.02160631,2022-01-01 02:00:00,46930.15004364,46722.95913999,46774.5941886,1719.912484887128
1641006000000,46812.82029658,2022-01-01 03:00:00,46907.45784682,46750.93344888,46813.06697193,1564.6165841846514
1641009600000,46704.76064732,2022-01-01 04:00:00,46878.23513354,46622.66822582,46810.6816775,2553.921688146323
1641013200000,47194.68571576,2022-01-01 05:00:00,47560.63578039,46668.40798772,46705.00338415,4294.264184011314
1641016800000,46979.71517179,2022-01-01 06:00:00,47324.13978047,46941.00889654,47192.81458252,2263.6473839613063
1641020400000,47199.39491924,2022-01-01 07:00:00,47255.07031292,46887.53439801,46982.7966286,2007.0278834548164
1641024000000,47123.09135989,2022-01-01 08:00:00,47346.82908747,47082.32346627,47198.9987315,1772.1373845611618
1641027600000,47138.76151283,2022-01-01 09:00:00,47217.49707767,46938.66251975,47125.42936071,1446.4817529937018
1641031200000,46868.61865725,2022-01-01 10:00:00,47298.08738773,46717.47042308,47144.59704423,2712.998436548474
1641034800000,46756.62865525,2022-01-01 11:00:00,47006.35458174,46444.6840899,46872.97940832,2338.4809655650583
1641038400000,47081.55165428,2022-01-01 12:00:00,47155.13131953,46753.81687086,46758.55636793,1567.0526854035545
1641042000000,47027.45458532,2022-01-01 13:00:00,47203.55509398,46942.27233566,47084.26941902,1413.9986935394256
1641045600000,46924.88217148,2022-01-01 14:00:00,47110.13838633,46856.07101684,47026.67295874,1645.570166740923
1641049200000,47226.0435544,2022-01-01 15:00:00,47494.40941313,46875.21161795,46922.01078098,3746.442494836582
1641052800000,47280.50435697,2022-01-01 16:00:00,47534.67944752,47184.86638269,47226.25540098,3786.033062943351
1641056400000,47762.57823178,2022-01-01 17:00:00,47955.40337751,47248.44700189,47278.36801563,4089.760008426397
1641060000000,47576.03072641,2022-01-01 18:00:00,47850.27251797,47431.21744608,47763.35002535,2933.30066072546
1641063600000,47339.40986874,2022-01-01 19:00:00,47626.44363582,47295.64803209,47573.43677078,2328.2067219585324
1641067200000,47420.53327812,2022-01-01 20:00:00,47572.15513116,47258.55692688,47338.91797597,2270.9025537836224
1641070800000,47330.96555093,2022-01-01 21:00:00,47569.2836047,47282.85437901,47406.28053874,2288.850403277512
1641074400000,47453.74056009,2022-01-01 22:00:00,47504.08181419,47237.56479144,47316.67900273,1630.0528308352327
1641078000000,47733.38548613,2022-01-01 23:00:00,47828.54735371,47291.74189504,47453.8199942,2592.4602069167004
1641081600000,47637.51979485,2022-01-02 00:00:00,47768.12061252,47395.05135121,47734.74546276,3118.8044552784118
1641085200000,47383.59697807,2022-01-02 01:00:00,47652.44766039,47319.65549743,47635.83684666,2043.7001170006383
1641088800000,47380.34888164,2022-01-02 02:00:00,47457.74393563,47289.97269543,47387.50087847,1741.589188089982
1641092400000,47338.08624503,2022-01-02 03:00:00,47475.03099649,47273.90956748,47362.16070473,1342.276509241071
1641096000000,46915.26719479,2022-01-02 04:00:00,47427.96296519,46771.60077888,47340.30570995,3786.1087858194255
1641099600000,47092.54503872,2022-01-02 05:00:00,47099.70921401,46838.28960613,46914.88769335,2290.858388936755
1641103200000,47128.32540095,2022-01-02 06:00:00,47250.34541466,47021.04476505,47089.35884902,1728.7899976383765
1641106800000,47185.03902917,2022-01-02 07:00:00,47302.96860211,47096.26470588,47127.74900324,1510.728587894399
1641110400000,47235.78175696,2022-01-02 08:00:00,47249.2357874,46975.68218896,47183.12212574,1674.1503018569
1641114000000,47280.3416587,2022-01-02 09:00:00,47506.69051715,47152.14673629,47230.35841011,2139.53799530908
1641117600000,47193.50118242,2022-01-02 10:00:00,47355.7929069,47149.54384112,47281.0378261,985.5580389744156
1641121200000,47241.79671132,2022-01-02 11:00:00,47421.41071318,47170.11138422,47197.16665796,1016.8358446600292
1641124800000,47300.4591068,2022-01-02 12:00:00,47458.51701306,47019.81722235,47242.67404182,2142.8878198568004
1641128400000,47141.6540485,2022-01-02 13:00:00,47310.64152886,47097.04093595,47300.27925623,1431.3452411479927
1641132000000,47118.33083143,2022-01-02 14:00:00,47209.4984743,47025.19860924,47142.83092045,1395.128331433372
1641135600000,47351.78665264,2022-01-02 15:00:00,47394.43593676,47078.27515084,47114.26821617,2129.678250280476
1641139200000,47800.27984822,2022-01-02 16:00:00,47898.12685926,47287.99249082,47351.76594225,3913.760220560187
1641142800000,47416.21192457,2022-01-02 17:00:00,48001.07341842,47333.09216801,47803.14698987,4055.057933000297
1641146400000,47067.45633372,2022-01-02 18:00:00,47415.9364659,46663.27707428,47411.83008265,5189.431804449278
1641150000000,46922.33923973,2022-01-02 19:00:00,47227.28756538,46856.30859555,47061.2951648,2955.3474242389666
1641153600000,47017.38316605,2022-01-02 20:00:00,47060.2804763,46828.19447409,46919.56243699,1577.0275972913555
1641157200000,47025.53127763,2022-01-02 21:00:00,47189.32235308,46925.09494722,47018.5044171,1294.3361435222876
1641160800000,47265.64574555,2022-01-02 22:00:00,47418.07609324,47012.05859328,47015.77461124,1537.4547909647038
1641164400000,47299.99964571,2022-01-02 23:00:00,47477.77951341,47265.5774941,47268.33937129,1999.2135139916577
1641168000000,47061.03862152,2022-01-03 00:00:00,47302.8250777,47055.65881882,47296.38863414,1822.109088936876
1641171600000,47124.5085025,2022-01-03 01:00:00,47143.88083805,46954.0155556,47060.33361541,2063.200673630384
1641175200000,47006.33154676,2022-01-03 02:00:00,47126.48363956,46864.33771681,47122.07562562,2423.783915978001
1641178800000,46799.24698134,2022-01-03 03:00:00,47195.1739601,46727.77640238,47005.2415036,2460.6902352470183
1641182400000,46829.02072462,2022-01-03 04:00:00,46950.17527226,46754.33979731,46800.32975371,1382.398505196729
1641186000000,47083.50126077,2022-01-03 05:00:00,47214.28945252,46774.84739115,46828.34558023,2306.7548422850004
1641189600000,46929.72397683,2022-01-03 06:00:00,47110.22042776,46883.17078974,47085.81194842,1460.4980627458376
1641193200000,47055.12031731,2022-01-03 07:00:00,47086.73256918,46859.88519422,46927.80924935,1546.2678592100938
1641196800000,46983.1771322,2022-01-03 08:00:00,47138.03560376,46928.76837501,47056.05673202,1587.265662999292
1641200400000,46990.82145976,2022-01-03 09:00:00,47106.1357498,46783.08735335,46983.45385353,3128.351560836958
1641204000000,47132.55145044,2022-01-03 10:00:00,47252.18880943,46986.3531591,46989.5722675,4390.171567453303
1641207600000,47381.27467182,2022-01-03 11:00:00,47434.66327884,47131.20823138,47133.52131022,2827.4326408419274
1641211200000,47199.67938737,2022-01-03 12:00:00,47577.4098181,47181.92783965,47382.01958761,3049.097494826362
1641214800000,47158.8312616,2022-01-03 13:00:00,47396.3295719,47132.48794082,47199.8746246,2495.832397748697
1641218400000,46874.35640748,2022-01-03 14:00:00,47283.07292711,46770.03364359,47157.95680398,4953.652197802305
1641222000000,46690.3801055,2022-01-03 15:00:00,47022.62457462,46581.41719167,46876.24307823,4544.979635147534
1641225600000,46484.60776573,2022-01-03 16:00:00,46780.94295063,46272.24289819,46690.11925947,8899.880323736637
1641229200000,46585.87391342,2022-01-03 17:00:00,46792.11722471,46414.82061418,46481.26736759,3601.3899442442485
1641232800000,46474.91118088,2022-01-03 18:00:00,46741.50720051,46411.82037472,46581.81372343,2287.9469235698293
1641236400000,46369.40423895,2022-01-03 19:00:00,46658.45564602,46362.59161108,46469.22143103,2496.693364888082
1641240000000,45920.36882963,2022-01-03 20:00:00,46414.36378611,45695.97838611,46367.8168117,9682.285547710817
1641243600000,45982.99277568,2022-01-03 21:00:00,46261.68611265,45817.48180957,45918.943903,3165.245391213436
1641247200000,46224.49007172,2022-01-03 22:00:00,46448.27965459,45965.25424683,45981.63098386,2573.2116118327526
1641250800000,46452.01632792,2022-01-03 23:00:00,46575.75739262,46174.65465437,46221.72637868,3106.627364065764
1641254400000,46246.30339544,2022-01-04 00:00:00,46543.94721224,46170.3233932,46449.65114693,2981.4289971564635
1641258000000,46062.36953635,2022-01-04 01:00:00,46404.47056608,46045.55254275,46244.91622013,2363.816447691246
1641261600000,46108.99929153,2022-01-04 02:00:00,46271.63853439,45947.08877363,46063.59131181,2945.82092590999
1641265200000,46324.31034985,2022-01-04 03:00:00,46383.21231245,46012.69522635,46109.25218593,2420.316591796281
1641268800000,46102.02730608,2022-01-04 04:00:00,46414.64002339,46006.06537431,46320.51450452,3920.295384587963
1641272400000,46158.23370517,2022-01-04 05:00:00,46298.20495989,46024.38085593,46103.84684856,2186.9678010990715
1641276000000,46373.56003798,2022-01-04 06:00:00,46397.01045875,46069.91212562,46154.99057011,3044.8411704447667
1641279600000,46552.3382727,2022-01-04 07:00:00,46594.06396841,46323.84384318,46374.17407543,3533.356906795111
1641283200000,46494.00859617,2022-01-04 08:00:00,46682.31245665,46396.96818863,46553.93278617,3223.6334684922463
1641286800000,46358.51015265,2022-01-04 09:00:00,46603.67204022,46301.13849327,46495.06835825,3114.771821844699
1641290400000,46632.34121898,2022-01-04 10:00:00,46761.44806353,46297.92640598,46359.53003101,3050.1576223162674
1641294000000,46734.25110782,2022-01-04 11:00:00,46775.67960753,46597.13465491,46629.88990407,3029.203677093972
1641297600000,46638.63734702,2022-01-04 12:00:00,46771.14663817,46478.06961491,46736.6192648,2477.934550630011
1641301200000,46969.24647708,2022-01-04 13:00:00,47078.40679724,46410.15261322,46638.59320575,5088.746315123139
1641304800000,47338.60810085,2022-01-04 14:00:00,47531.06930622,46821.4652486,46967.40345365,8178.616999335413
1641308400000,46910.58553521,2022-01-04 15:00:00,47551.87463734,46847.85850626,47340.5265286,6601.12581661533
1641312000000,46765.76706718,2022-01-04 16:00:00,46919.13141844,46636.51057821,46918.62145663,5374.950212740082
1641315600000,46549.54205215,2022-01-04 17:00:00,46980.64914899,46521.02755134,46764.15942007,2298.0682210434725
1641319200000,45739.29732316,2022-01-04 18:00:00,46718.53604226,45511.42114303,46552.12087612,11598.360566739806
1641322800000,46042.10431448,2022-01-04 19:00:00,46454.221084,45572.90944249,45739.5728932,8237.62554560641
1641326400000,46262.03026405,2022-01-04 20:00:00,46423.81433354,45950.83059284,46045.48458252,3250.8444072485445
1641330000000,46218.73298065,2022-01-04 21:00:00,46318.62064068,46019.41653633,46258.3475917,2403.707824283433
1641333600000,46149.78881705,2022-01-04 22:00:00,46245.86805081,45945.93603356,46218.40964459,2244.4867471596235
1641337200000,45823.67625179,2022-01-04 23:00:00,46152.65102496,45750.00591228,46148.80541347,3310.656326950738
1641340800000,46268.40562381,2022-01-05 00:00:00,46312.51015799,45713.17385283,45825.24717839,3360.039498512602
1641344400000,46107.44360876,2022-01-05 01:00:00,46334.97378051,46101.68427739,46272.19692545,2274.806583470096
1641348000000,46299.58782296,2022-01-05 02:00:00,46393.69784192,46107.69005082,46109.60437279,2113.436936996207
1641351600000,46422.00180576,2022-01-05 03:00:00,46550.42859266,46296.35282846,46296.83466068,2114.664615864704
1641355200000,46412.87089347,2022-01-05 04:00:00,46527.39170748,46349.70779341,46426.6731425,1448.3816741622006
1641358800000,46303.90810557,2022-01-05 05:00:00,46414.87797695,46246.09478898,46414.43500201,1535.5158133515192
1641362400000,46452.90400462,2022-01-05 06:00:00,46468.37958636,46245.91672583,46303.98232557,1381.8985720530156
1641366000000,46407.77718748,2022-01-05 07:00:00,46493.1528514,46335.24426646,46450.64898946,1373.4998452178722
1641369600000,46640.96068933,2022-01-05 08:00:00,46680.1567119,46261.65535064,46407.73525488,2535.974182481627
1641373200000,46861.63303266,2022-01-05 09:00:00,46952.72553769,46575.08352692,46643.57939308,3433.8573114057995
1641376800000,46819.52908729,2022-01-05 10:00:00,47072.51015819,46634.84538341,46862.41267358,3763.852707652022
1641380400000,46271.40996362,2022-01-05 11:00:00,46859.57375224,46110.45538136,46822.24585242,4024.341874276946
1641384000000,46230.87104193,2022-01-05 12:00:00,46347.11427235,45856.44462203,46269.93574637,5297.964189538688
1641387600000,46431.40440339,2022-01-05 13:00:00,46461.11978656,46077.41373931,46228.75638797,3564.280951584441
1641391200000,46706.27151795,2022-01-05 14:00:00,46831.28073445,46148.5702928,46432.50938492,6197.200669026954
1641394800000,46622.57427126,2022-01-05 15:00:00,46827.71363736,46373.71389191,46705.38521016,4535.010464361811
1641398400000,46302.18624115,2022-01-05 16:00:00,46676.60625204,44879.7695565,46625.98534581,3249.210588296456
1641402000000,46008.4870736,2022-01-05 17:00:00,46467.40089462,45997.16411586,46300.98375322,3947.812697692452
1641405600000,45913.68230122,2022-01-05 18:00:00,46325.45499085,45543.82821478,46009.90135901,10092.277838504122
1641409200000,44668.06520668,2022-01-05 19:00:00,46108.62228534,44578.14548744,45916.89428038,25490.952855359883
1641412800000,43957.31727412,2022-01-05 20:00:00,44834.86887477,43660.7659154,44670.57437463,21327.93433147458
1641416400000,43597.41829521,2022-01-05 21:00:00,44317.67677813,43397.06510208,43959.55588625,10370.679593558863
1641420000000,43431.07988732,2022-01-05 22:00:00,43789.25582373,42482.86240755,43591.2988966,16859.013518826414
1641423600000,43449.28599509,2022-01-05 23:00:00,43704.90949318,43233.40254431,43430.81336864,6842.074036297781
1641427200000,43677.49732163,2022-01-06 00:00:00,43767.28509716,43265.72859246,43445.23585795,6745.926363107545
1641430800000,43548.04489182,2022-01-06 01:00:00,43794.97116065,43300.83970851,43677.0879388,5023.709784312255
1641434400000,43256.20439155,2022-01-06 02:00:00,43613.82665902,43144.47023963,43537.73661812,4199.164775790561
1641438000000,42830.01910971,2022-01-06 03:00:00,43304.43314217,42809.34192054,43255.41961353,6190.052567193909
1641441600000,43024.07692769,2022-01-06 04:00:00,43145.19645246,42593.88334955,42833.19452421,7284.146418368772
1641445200000,43043.12635342,2022-01-06 05:00:00,43239.25777124,42799.70962331,43022.46830278,4714.768156188316
1641448800000,43093.45125919,2022-01-06 06:00:00,43225.06529002,42894.64713712,43049.78036029,3287.352479534195
1641452400000,43230.34440284,2022-01-06 07:00:00,43263.4305188,42980.75747733,43090.56326213,3107.869028772908
1641456000000,43049.57953822,2022-01-06 08:00:00,43267.01893351,42904.41195993,43238.00478332,3911.315861365602
1641459600000,42589.70306952,2022-01-06 09:00:00,43084.38748818,42423.16119951,43052.45991172,7761.393085876458
1641463200000,42877.61232926,2022-01-06 10:00:00,42944.7856768,42565.94221603,42589.69892952,5123.29470509356
1641466800000,42863.41437339,2022-01-06 11:00:00,42954.88300213,42677.60072474,42877.65514644,3272.7097986758977
1641470400000,43044.84841073,2022-01-06 12:00:00,43053.44063585,42625.35379333,42867.4181146,3760.008030687513
1641474000000,43138.67607721,2022-01-06 13:00:00,43184.69138436,42894.61427019,43046.50894553,4736.715348223102
1641477600000,42786.57068815,2022-01-06 14:00:00,43242.1940576,42752.87327872,43140.80173785,5871.16073096181
1641481200000,42939.07098276,2022-01-06 15:00:00,43014.73011506,42652.86594431,42790.75478663,5678.851790275222
1641484800000,42873.35946261,2022-01-06 16:00:00,43113.96321707,42732.99663178,42940.36289714,5084.18547951483
1641488400000,43006.75362725,2022-01-06 17:00:00,43172.44879242,42786.42514437,42873.99852316,3934.446973235548
1641492000000,43368.00680407,2022-01-06 18:00:00,43397.9226206,42980.70907073,43002.78209174,4038.248580920053
1641495600000,43436.70867258,2022-01-06 19:00:00,43506.90146734,43225.50694273,43373.95905909,3671.033196533406
1641499200000,43207.24192411,2022-01-06 20:00:00,43632.57510192,43107.5679036,43435.75738044,4337.775370808967
1641502800000,43119.58402943,2022-01-06 21:00:00,43249.12374954,43065.86882722,43199.86004295,2591.7925979061883
1641506400000,43176.91799262,2022-01-06 22:00:00,43238.73132022,43002.31670382,43117.04756854,1869.237002022745
1641510000000,43079.91077387,2022-01-06 23:00:00,43235.29787023,43051.56306248,43176.91003727,1789.3782211117789
1641513600000,42777.22114433,2022-01-07 00:00:00,43141.73438127,42703.57323143,43080.67307041,4364.733738985781
1641517200000,42999.00491183,2022-01-07 01:00:00,43024.30007352,42773.19669738,42777.94307814,2422.9147003806397
1641520800000,42787.23390428,2022-01-07 02:00:00,43028.72570405,42766.1847972,43001.25252645,2304.5916713109686
1641524400000,41794.92724691,2022-01-07 03:00:00,42818.39226187,41560.67465974,42790.17994492,18449.7615257196
1641528000000,41687.40027098,2022-01-07 04:00:00,41900.19348999,40993.80998176,41799.7690187,19024.4461940596
1641531600000,41844.30846594,2022-01-07 05:00:00,41944.05827505,41518.33975127,41688.47976925,6493.329582076579
1641535200000,41516.46025562,2022-01-07 06:00:00,41844.0172323,41397.26452979,41839.91244024,5279.048624475988
1641538800000,41690.92134816,2022-01-07 07:00:00,41712.70755988,41204.53603228,41515.64718418,6131.483514354067
1641542400000,42074.90880154,2022-01-07 08:00:00,42819.98123596,41600.07501898,41694.1494277,12142.970355803129
1641546000000,42411.71544523,2022-01-07 09:00:00,42617.39544337,42051.90010347,42077.59855204,4053.756482322098
1641549600000,42162.40283511,2022-01-07 10:00:00,42509.25226792,42159.06118099,42412.89915344,3332.762284425776
1641553200000,42245.63257883,2022-01-07 11:00:00,42335.91883097,42145.19574406,42158.13168472,2289.515779112093
