start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1641186000000,2022-01-03 05:00:00,0.52504117,1.10544565,224043251.3751,0.47495883,202672336.09443
1641189600000,2022-01-03 06:00:00,0.45718272,0.84224053,92764142.2436,0.54281728,110139727.25673
1641193200000,2022-01-03 07:00:00,0.48509629,0.9421107,78778721.59521,0.51490371,83619389.37775
1641196800000,2022-01-03 08:00:00,0.46704253,0.87632233,95777328.78474,0.53295747,109294634.25888
1641200400000,2022-01-03 09:00:00,0.49855722,0.99424549,212768642.74331,0.50144278,214000108.37148
1641204000000,2022-01-03 10:00:00,0.50754054,1.030624,255674207.33949,0.49245946,248077094.04088
1641207600000,2022-01-03 11:00:00,0.54660618,1.20558807,226708142.11779,0.45339382,188047765.12511
1641211200000,2022-01-03 12:00:00,0.44304858,0.79548872,289326968.43242,0.55695142,363709706.10961
1641214800000,2022-01-03 13:00:00,0.52703939,1.11434096,166597604.57963,0.47296061,149503258.12775
1641218400000,2022-01-03 14:00:00,0.46861576,0.8818774,430822581.15744,0.53138424,488528882.73754
1641222000000,2022-01-03 15:00:00,0.47969215,0.9219391,385589858.63476,0.52030785,418237884.89576
1641225600000,2022-01-03 16:00:00,0.48480197,0.94100121,539814734.09029,0.51519803,573659979.73406
1641229200000,2022-01-03 17:00:00,0.51571082,1.06488197,287028968.04061,0.48428918,269540639.81197
1641232800000,2022-01-03 18:00:00,0.45915741,0.8489668,143786152.47881,0.54084259,169366048.20352
1641236400000,2022-01-03 19:00:00,0.48800312,0.9531369,136555655.46128,0.51199688,143269718.33252
1641240000000,2022-01-03 20:00:00,0.44908675,0.81516783,582662503.35756,0.55091325,714776124.95696
1641243600000,2022-01-03 21:00:00,0.49056397,0.96295499,240069157.28422,0.50943603,249304650.31481
1641247200000,2022-01-03 22:00:00,0.50900344,1.03667416,204628692.26038,0.49099656,197389594.44883
1641250800000,2022-01-03 23:00:00,0.54131249,1.18013346,213677982.88355,0.45868751,181062557.16592
1641254400000,2022-01-04 00:00:00,0.48830207,0.95427797,210298446.44853,0.51169793,220374411.1553
1641258000000,2022-01-04 01:00:00,0.47418399,0.90180593,134855879.32416,0.52581601,149539800.26098
1641261600000,2022-01-04 02:00:00,0.49538188,0.98169659,190850354.85911,0.50461812,194408697.21758
1641265200000,2022-01-04 03:00:00,0.49109885,0.96501815,149401983.45894,0.50890115,154817795.7048
1641268800000,2022-01-04 04:00:00,0.48306861,0.93449272,166988819.15549,0.51693139,178694618.42925
1641272400000,2022-01-04 05:00:00,0.48444022,0.93963927,136613464.6124,0.51555978,145389266.50152
1641276000000,2022-01-04 06:00:00,0.52358657,1.09901723,164040265.02875,0.47641343,149260866.85637
1641279600000,2022-01-04 07:00:00,0.47397622,0.90105474,181091240.62719,0.52602378,200976958.22001
1641283200000,2022-01-04 08:00:00,0.47486814,0.9042836,208708598.34308,0.52513186,230799936.31712
1641286800000,2022-01-04 09:00:00,0.43271976,0.76279717,151628995.89854,0.56728024,198780227.82089
1641290400000,2022-01-04 10:00:00,0.54646755,1.20491387,299009826.74172,0.45353245,248158672.61815
1641294000000,2022-01-04 11:00:00,0.4691516,0.88377699,183480215.19433,0.5308484,207609178.81259
1641297600000,2022-01-04 12:00:00,0.47830294,0.91682123,175895219.8283,0.52169706,191853345.51843
1641301200000,2022-01-04 13:00:00,0.52397114,1.10071296,427220812.57271,0.47602886,388130993.26742
1641304800000,2022-01-04 14:00:00,0.50606721,1.02456694,483401490.75682,0.49393279,471810549.05283
1641308400000,2022-01-04 15:00:00,0.45707922,0.84188935,479913686.65267,0.54292078,570043661.46478
1641312000000,2022-01-04 16:00:00,0.54365326,1.19131618,413262464.66176,0.45634674,346895705.05861
1641315600000,2022-01-04 17:00:00,0.45867582,0.84732189,218245053.71041,0.54132418,257570418.97017
1641319200000,2022-01-04 18:00:00,0.46156458,0.85723295,755621474.39248,0.53843542,881465733.03838
1641322800000,2022-01-04 19:00:00,0.52572985,1.10850291,697244534.80958,0.47427015,628996577.50288
1641326400000,2022-01-04 20:00:00,0.50956573,1.03900922,233392050.43912,0.49043427,224629431.38866
1641330000000,2022-01-04 21:00:00,0.5082086,1.03338244,154491282.43462,0.4917914,149500588.39541
1641333600000,2022-01-04 22:00:00,0.48221249,0.93129415,136282306.02032,0.51778751,146336477.56551
1641337200000,2022-01-04 23:00:00,0.47407011,0.90139414,223494064.34411,0.52592989,247942664.76174
1641340800000,2022-01-05 00:00:00,0.51001442,1.04087641,242881353.65805,0.48998558,233343125.48706
1641344400000,2022-01-05 01:00:00,0.46227354,0.8596816,137311252.83399,0.53772646,159723382.63422
1641348000000,2022-01-05 02:00:00,0.55222958,1.23328732,132344829.83352,0.44777042,107310622.40591
1641351600000,2022-01-05 03:00:00,0.52219008,1.09288247,163042412.07623,0.47780992,149185678.44637
1641355200000,2022-01-05 04:00:00,0.52558078,1.10784039,127505988.20118,0.47441922,115094186.73627
1641358800000,2022-01-05 05:00:00,0.42924268,0.75205814,84683193.63209,0.57075732,112601924.44781
1641362400000,2022-01-05 06:00:00,0.54425834,1.19422558,112508778.77671,0.45574166,94210658.78576
1641366000000,2022-01-05 07:00:00,0.44065635,0.7878097,84853710.29115,0.55934365,107708384.6229
1641369600000,2022-01-05 08:00:00,0.52866509,1.12163365,210759390.41577,0.47133491,187903947.11344
1641373200000,2022-01-05 09:00:00,0.51131935,1.04632615,327015046.58325,0.48868065,312536437.57218
1641376800000,2022-01-05 10:00:00,0.50125522,1.00503352,292045020.57018,0.49874478,290582367.20964
1641380400000,2022-01-05 11:00:00,0.46035446,0.85306823,420380911.01463,0.53964554,492786970.67847
1641384000000,2022-01-05 12:00:00,0.48928689,0.95804647,427381136.71315,0.51071311,446096458.51883
1641387600000,2022-01-05 13:00:00,0.50790267,1.03211833,341246823.97851,0.49209733,330627615.52141
1641391200000,2022-01-05 14:00:00,0.50646225,1.02618748,674117087.95037,0.49353775,656914161.97824
1641394800000,2022-01-05 15:00:00,0.48893322,0.95669144,424606821.1444,0.51106678,443828387.68962
